Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,152142,7025,0,145117,372,4.62,0.0,0.0,38928341,3908.0,150778,1364,0.9
Albania,136147,2466,0,133681,200,1.81,0.0,0.0,2877800,47309.0,133981,2166,1.62
Algeria,187968,4830,0,183138,710,2.57,0.0,0.0,43851043,4287.0,182368,5600,3.07
Andorra,14954,129,0,14825,30,0.86,0.0,0.0,77265,193542.0,14836,118,0.8
Angola,44739,1103,0,43636,122,2.47,0.0,0.0,32866268,1361.0,43747,992,2.27
Antigua and Barbuda,1397,43,0,1354,0,3.08,0.0,0.0,97928,14266.0,1348,49,3.64
Argentina,5088271,109105,0,4979166,3636,2.14,0.0,0.0,45195777,112583.0,5029075,59196,1.18
Armenia,234814,4702,0,230112,256,2.0,0.0,0.0,2963234,79242.0,232297,2517,1.08
Australia,40097,967,0,39130,482,2.41,0.0,0.0,50919400,787.0,37010,3087,8.34
Austria,669506,10757,0,658749,774,1.61,0.0,0.0,9006400,74337.0,663532,5974,0.9
Azerbaijan,369853,5170,0,364683,1851,1.4,0.0,0.0,10139175,36478.0,352926,16927,4.8
Bahamas,16668,313,0,16355,527,1.88,0.0,0.0,393248,42385.0,15794,874,5.53
Bahrain,271025,1384,0,269641,106,0.51,0.0,0.0,1701583,159278.0,270161,864,0.32
Bangladesh,1425861,24349,0,1401512,6959,1.71,0.0,0.0,164689383,8658.0,1365158,60703,4.45
Barbados,4548,48,0,4500,23,1.06,0.0,0.0,287371,15826.0,4480,68,1.52
Belarus,462197,3613,0,458584,894,0.78,0.0,0.0,9449321,48913.0,454674,7523,1.65
Belgium,1154879,25299,0,1129580,5010,2.19,0.0,0.0,23021022,50166.0,1141379,13500,1.18
Belize,15010,344,0,14666,163,2.29,0.0,0.0,397621,37750.0,14499,511,3.52
Benin,9065,113,0,8952,0,1.25,0.0,0.0,12123198,748.0,8608,457,5.31
Bhutan,2577,3,0,2574,6,0.12,0.0,0.0,771612,3340.0,2546,31,1.22
Bolivia,482428,18185,0,464243,0,3.77,0.0,0.0,11673029,41328.0,478671,3757,0.78
Bosnia and Herzegovina,207571,9711,0,197860,495,4.68,0.0,0.0,3280815,63268.0,206317,1254,0.61
Botswana,142380,2043,0,140337,5622,1.43,0.0,0.0,2351625,60545.0,130771,11609,8.88
Brazil,20378570,569492,0,19809078,14471,2.79,0.0,0.0,422706534,48210.0,20177757,200813,1.0
Brunei,787,3,0,784,64,0.38,0.0,0.0,437483,1799.0,406,381,93.84
Bulgaria,434535,18376,0,416159,1301,4.23,0.0,0.0,6948445,62537.0,428823,5712,1.33
Burkina Faso,13677,170,0,13507,2,1.24,0.0,0.0,20903278,654.0,13625,52,0.38
Burma,356985,13445,0,343540,2706,3.77,0.0,0.0,54409800,6561.0,333127,23858,7.16
Burundi,10103,38,0,10065,483,0.38,0.0,0.0,11890781,850.0,8800,1303,14.81
Cabo Verde,34407,300,0,34107,10,0.87,0.0,0.0,555988,61884.0,34078,329,0.97
Cambodia,86041,1704,0,84337,593,1.98,0.0,0.0,16718971,5146.0,82399,3642,4.42
Cameroon,82454,1338,0,81116,0,1.62,0.0,0.0,26545864,3106.0,82064,390,0.48
Canada,1463616,26665,0,1436951,4546,1.82,0.0,0.0,75750184,19322.0,1449706,13910,0.96
Central African Republic,11251,99,0,11152,0,0.88,0.0,0.0,4829764,2330.0,7151,4100,57.33
Chad,4984,174,0,4810,2,3.49,0.0,0.0,16425859,303.0,4980,4,0.08
Chile,1629932,36420,0,1593512,740,2.23,0.0,0.0,36692988,44421.0,1624316,5616,0.35
